0ward,1area,2may16,3may12,4edu,5age,6gender,7xcoord,8ycoord,9income,10populationsize
E05000188,12,0.61464546057,0.498079877112,2.57115442885,44.0971935802,0.51599479844,-0.277466043769,51.5066630542,34.3,11535.0
E05000189,12,0.82281952825,0.877664233577,1.90200337919,43.6379257441,0.466627577446,-0.383421205504,51.5093280895,27.93,10233.0
E05000190,12,0.830325882036,0.871011084985,1.90452722063,42.2987188132,0.463631366801,-0.389977347051,51.5000399124,27.15,10916.0
E05000191,12,0.426732962855,0.314629948365,3.1293765586,44.1813140333,0.513239590942,-0.2616446056,51.5000302691,50.17,10952.0
E05000192,12,0.564275668073,0.422926192031,3.02338634238,44.1244713572,0.507193572496,-0.315622454788,51.5068991468,46.24,10704.0
E05000324,13,0.678571428571,0.717503519474,1.93645013509,43.9178567594,0.505386272699,-0.407194918681,51.5252019603,31.8,9747.0
E05000325,13,0.691077141841,0.663869257951,1.8752477313,43.5841574559,0.513730929265,-0.433136049335,51.5123376172,30.7,10815.0
E05000326,13,0.405405405405,0.354349095155,2.2670795617,40.679829948,0.479009309679,-0.464182494707,51.5281792918,34.63,11386.0
E05000327,13,0.261554621849,0.227272727273,2.25543740938,49.4689376443,0.526752664049,-0.396544438307,51.5703227875,43.97,8915.0
E05000328,13,0.476821192053,0.4375,1.92634325703,46.4803788904,0.513888888889,-0.426776889221,51.5322936575,35.41,9288.0
E05000329,13,0.23,0.179635258359,2.53707568933,51.8648792993,0.517955086412,-0.412253058889,51.5831624314,47.38,9663.0
E05000330,13,0.250403877221,0.244705882353,1.96473412112,49.7060590002,0.522015823873,-0.476235996856,51.5984686169,37.99,5814.0
E05000331,13,0.518025513034,0.482041587902,2.05874054123,43.4490674319,0.473265436028,-0.458715601831,51.477296379,33.17,9426.0
E05000332,13,0.391095591445,0.316888045541,2.07111212087,45.9312445605,0.508692919983,-0.437820554959,51.5425829482,37.25,9548.0
E05000333,13,0.218794326241,0.152017291066,2.46496150333,52.1346567202,0.518992009834,-0.460322855267,51.5647337605,48.77,8135.0
E05000334,13,0.261472785486,0.204112149533,2.26017353049,48.7591156384,0.519423488346,-0.413827419141,51.568641715,43.46,8881.0
E05000335,13,0.267315175097,0.184840425532,2.7375526381,51.3678682263,0.52972027972,-0.436693774263,51.6057672861,46.55,8580.0
E05000336,13,0.309090909091,0.22461116194,2.45360946746,49.7657433578,0.53115042303,-0.409580325282,51.5988369421,43.32,9101.0
E05000337,13,0.662790697674,0.698499317872,1.94733924612,43.4674780527,0.504061932524,-0.433479391333,51.4986152877,31.83,10463.0
E05000338,13,0.374238875878,0.323880597015,2.17038978801,45.5678451725,0.50753611053,-0.408677355273,51.5551909158,40.06,9554.0
E05000339,13,0.712264150943,0.715757835981,1.88202674785,43.7561887441,0.497973364215,-0.409755168771,51.5115305101,30.43,10362.0
E05000340,13,0.320015366884,0.242060085837,2.4072211044,48.1074495492,0.513676547062,-0.464559639986,51.546981214,41.47,9615.0
E05000341,13,0.476597886261,0.378843147473,2.51539234493,38.8369391736,0.494408475574,-0.484462763972,51.5350475914,34.27,11893.0
E05000342,13,0.466115702479,0.402249598286,1.92906343169,45.0205645552,0.517833800187,-0.470348124275,51.5026566755,32.68,10710.0
E05000343,13,0.256449749711,0.185875216638,2.37681525445,49.2971400873,0.517819211706,-0.437982091092,51.5810520434,43.47,8474.0
E05000344,13,0.665580448065,0.679694947569,2.08638619712,42.7861358515,0.513730330145,-0.389087933747,51.5232236607,33.24,9723.0
E05000345,13,0.488450704225,0.446743761412,1.9218153224,43.1498611408,0.504576776715,-0.466136205256,51.5159839875,32.34,9723.0
E05000193,14,0.728119180633,0.637196518552,2.46651694569,43.4709328939,0.507354884172,-0.109489516283,51.6113392263,36.3,11353.0
E05000194,14,0.462809917355,0.364821995065,2.26257253385,49.5735609665,0.522826086957,-0.0784951276622,51.635194611,41.8,11040.0
E05000195,14,0.484060095273,0.384799044966,2.09005667182,47.1028986951,0.537533770745,-0.102273319014,51.6772499106,36.35,10364.0
E05000196,14,0.344546048334,0.254777070064,2.37855833253,49.3963574916,0.532316302582,-0.149938056101,51.6608762736,43.57,11078.0
E05000197,14,0.829794890248,0.806623931624,1.68472688704,43.1831140351,0.539836609237,-0.0535782025012,51.6187078192,26.01,12363.0
E05000198,14,0.699152542373,0.60823875578,1.66946484785,44.7255010622,0.533557343709,-0.0300965024572,51.6578433488,29.45,11309.0
E05000199,14,0.72089376715,0.642857142857,1.87384933308,43.457414966,0.545192811028,-0.0233784112437,51.673121727,30.24,11462.0
E05000200,14,0.346810422282,0.250165016502,2.50958533028,50.3989658319,0.511559272012,-0.0914370647551,51.6442208046,45.96,10165.0
E05000201,14,0.753497164461,0.728436911488,1.8140062376,44.400179937,0.535031847134,-0.0744317854291,51.624105023,29.6,11618.0
E05000202,14,0.35506110937,0.280522230064,2.34819897084,49.8852298344,0.520343020486,-0.109523513401,51.6574755243,43.54,10495.0
E05000203,14,0.711954304366,0.647856517935,1.78723845038,46.216530734,0.526586620926,-0.0408713703126,51.6346447598,30.8,10494.0
E05000204,14,0.783941039566,0.7604743083,1.76170536734,44.3258293839,0.545557788067,-0.0449090991293,51.6262292973,28.11,11447.0
E05000205,14,0.649337410805,0.533537753929,2.29328261273,45.8112112286,0.518007854934,-0.0994954863484,51.6191092576,37.97,11967.0
E05000206,14,0.785930082003,0.735046521932,1.82604412924,43.0953453453,0.530222978419,-0.0332693999488,51.6444868874,28.56,11167.0
E05000207,14,0.653235653236,0.554292929293,1.98570400082,44.4872767189,0.536797779692,-0.06103699498,51.6529695067,33.26,10449.0
E05000208,14,0.491949297705,0.358286629303,2.56857359348,46.4200198933,0.529262309445,-0.123000756616,51.6362236027,41.52,11414.0
E05000209,14,0.51607557176,0.417741305197,2.54800679389,47.3869143019,0.50893508388,-0.126527776804,51.6188274057,42.75,10968.0
E05000210,14,0.409559244419,0.3178220956,2.30860095976,48.3235320324,0.529676414605,-0.0782215185206,51.65912172,42.3,11558.0
E05000211,14,0.662483191394,0.568338249754,1.66757722211,45.7930367505,0.542029552794,-0.0457283806226,51.673803968,28.96,10219.0
E05000212,14,0.785975407112,0.761796042618,1.78831919119,43.8565852003,0.538716993358,-0.0654318723315,51.6111347918,28.48,12346.0
E05000213,14,0.466507177033,0.362418537292,2.61304961678,48.0436293436,0.516068408194,-0.1047904848,51.6301258524,45.88,10642.0
E05000266,15,0.694846749747,0.537450199203,3.12173811743,45.7301113535,0.520463923274,-0.13297038709,51.5986072381,51.45,8967.0
E05000267,15,0.783277870216,0.711403097137,2.47611515343,42.3654652937,0.512333791839,-0.122429592228,51.6051677809,34.55,10905.0
